,"Please describe the first activity that you perform using multiple devices:
- Describe the activity: 
   - What is the activity?     - What does it in involve?   - What software is involved in this activity?    - Who is involved? 
- Describe the configuration:
   - How are you using the devices?    - How are they positioned physically in the space?",(Optional) Upload image of first activity here - Name,Frequency,Pattern Code,Tasks,Photos and Text,Notes
P16,"Email
- checking multiple email accounts: work, personal
- Have all the email on one screen
- Outlook (both Android and PC - replaced default google email) exclusively
- work: dozens of parties for constant emailing and meeting notifications; personal: about 6 personal email accounts for different purposes 
Config: 
- How - on PCs, Office365 suite (business for work; both bus and home for personal); Outlook app for the Android and tablets replaced the Google apps that came default
- Each device has the Office suite or Office apps installed and maintained by me",4.jpg,Multiple times a day,Clone,Communication - Emails,,Work and personal communications
P60,"I use an original Surface Pro, soldiering on without complaint or issue, for general browsing and to produce digital paintings through a tethered Xpen drawing tablet.  We can also access the TV's and the various Amazon Echo/Alexa devices to share music, video, pictures.  We cast Youtube to the TV's through laptops, phones, tablets, etc. I have a number or art related programs but the one I use and love most, is still Microsoft FreshPaint!  I sorely wish that you guys had kept working on this wonderful program.  ",Setup 2.jpg,Weekly,"Clone, Integrate","Browse and Draw
Media Casting",,
P77,"PC Gaming
Bootcamped MacBook plugged into thunderbolt eGPU dock plugged into Monitor.
Use various games platforms such as steam and origin.
Usually just me or online friends.

The Macbook is out of the way and is pretty much just a desktop. External keyboard and mice are plugged into the egpu dock, as is a monitor.",BURST20190828230812878-01.jpeg,Weekly,Expand,Game Play,,Expand can be using all resources for one taks 
P68,I update the sites and services map for our active directory.  I use the active directory topology diagrammer and Visio. The large screen is a godsend for this task....the cat isn't much help,IMG_20200726_212209.jpg,Monthly,Expand,Map Editing,,Require screen size
P22,"My work consists of Design and Simulation of 3D CAD Models. I use my Laptop and Desktop for it. The software used are HYPERMESH, CREO and ANSYS.

I use HYPERMESH on my laptop as it is less resource intensive and I need to use it more frequently than other two software. CREO and ANSYS need more resources and are graphics intensive software and for that I use my desktop PC. In office, I only use my laptop while at home, both the devices are placed side by side on the table for parallel usage.",Annotation 2020-07-14 101427.png,Daily,Integrate,3D Modeling,,Distribute based on computing power needed 
P5,"- Online Conferences
- The activity involves video calls with other members of the team, giving lectures on conferences, and attending community events
- Microsoft Teams, Onenote

- HP Folio 13 is connected to TV, where I place the video input from the meeting. On Surface Pro 7 I use the chat, camera and microphone to communicate in the same meeting, and eventually share content, but I don't use the video input. Also on this device I use OneNote to take notes. Please see pictures for positions. HP Folio 13 is connected through a wired network, while Surface Pro 7 is on WiFi unless really important conference.",IMG_20200713_230807.jpg,Daily,Integrate,Conferences,,Classic integrate input/output modality
P61,"I do my work from a desk using my laptop with two extension monitors. My work involves data analysis and computer programming. I use remote desktop software, python, VS Code, and JupyterLab primarily. They are on a desk with the largest Monitor in the center and the laptop off to the side. ",image.jpg,Daily,Integrate,Data Analysis and Development,,
P68,"Using VS code, Notepad++, and Microsoft MDT, I Work on an encryption migration project.  Same screen layout as before",IMG_20200726_212000.jpg,Multiple times a day,Integrate,Development,,
P87,"Activity: Work

- Daily work
- Meeting with colleagues, programming, debugging and development
- Windows, Linux, teams, outlook, and work specific software.
- me and colleagues

-Configuration: Surfacebook laptop and additional monitor. Test and debug devices, linux laptop and my phone, spread between two desks.
-Laptop and monitor to do software related work, check email, video calls. Test and debug devices for other test work.
-Positioned on two tables next to each other. One with a laptop and monitor setting. The other with debug, a separate linux laptop and test devices.
",20200710_175216.jpg,Multiple times a day,Integrate,Development and Testing,,Classic dev setup
P90,"Activity
- Embedded Hardware/Firmware debugging
- Physically interacting with hardware and electrical test equipment while writing and debugging code, view schematics, data sheets, etc.
- VS Code, Embedded programmer/debugger, Alitum DXP, PDF Viewer, Web Browser, Logic Analyzer Software, etc.
- Just me
Config:
- HP Z420 (work desktop) with 3 monitors, digital oscilloscope (with integrated display) and other supporting test equipment (power supplies, multimeter, etc).
- 3 monitors centered on sit/stand desk (almost always in the standing position when working with HW), hardware work bench at roughly standing height to the right of the computer desk. Work bench contains hardware prototypes, oscilloscope and other test equipment. All computer input from wireless keyboard and mouse, and test equipment input provided directly (front panel buttons) with the exception of the oscilloscope which also has an additional wireless mouse kept on the hardware bench.",20200713_233555074_iOS.jpg,Multiple times a day,Integrate,Development and Testing,,
