Id,Description,(Optional) Upload image of first activity here - Name,Frequency,Pattern Code,Tasks,Notes
P16,"Email
- checking multiple email accounts: work, personal
- Have all the email on one screen
- Outlook (both Android and PC - replaced default google email) exclusively
- work: dozens of parties for constant emailing and meeting notifications; personal: about 6 personal email accounts for different purposes 
Config: 
- How - on PCs, Office365 suite (business for work; both bus and home for personal); Outlook app for the Android and tablets replaced the Google apps that came default
- Each device has the Office suite or Office apps installed and maintained by me",4.jpg,Multiple times a day,Clone,Communication - Emails,Work and personal communications
P41,use the surface pro 2 and I phone in various places n the house at the same time - mainly on the kitchen table in the mornings for email etc.,,Daily,Clone,Communication - Emails ,
P98,"1. Activity involves kids zoom or skype lessons where I need to move the video and audio content from my phone or Surface Book to the TV
Today, I am connecting the devices using cable",,Multiple times a day,Clone,Learning,Involving kids needs to move to bigger screens?
P6,"I often use a couple devices to play music through Spotify. I have the Spotify app on my notebook PC, my Iphone, and my iPad Pro. My notebook PC will be in front of me in my home office, a bluetooth speaker will be to my left, and the iPhone and iPad will be nearby, usually to my left. Spotify starts when I boot my notebook PC. When I open it on my iPhone or iPad, it's synchronized across all my devices. If I want to change the song or the volume, I can do that on any of my devices and it'll happen right away.",,Daily,Clone,Music play,Good example
P43,"Back when our gym was open pre-pandemic, I tracked my workouts using an app (FitBod) that has a great Apple Watch app. Nevertheless, sometimes the Watch app was buggy and I would have to use my phone to correct things or alter my workout. I also used my phone for music and my watch for controlling playback and volume. I would also browse my phone between reps, e.g., to respond to emails or text messages or jot down reminders.",,Never,Clone,"Music play and control
Fitness tracking",Great examples for wearable?
P63,"Calendaring - Using google calendar as Base sync to phone, tablet and two Win 10s Outlook. Use gSyncit. Apples miss some deletes and have to be done twice often. Spouse has same arrangement (only one Win10). We share calendars, most mostly use invites. Location tracking enable on iPhones; (google and). Tile devices used as equipment locatos. Thoshibas never leave office; every thing else in motion.",,Multiple times a day,Clone,Schedule,Calendar is another things for clone 
P52,Lighting controls are shared to all devices.,,Multiple times a day,Clone,Smart home - lighting controls,Ubiquitous example for clone
P87,"Activity: Home monitoring
-using sensing devices to monitor temperature, motion, humidity, activity and to control lamps, or generate alerts for intrusion.
-A smart hub like the Smart things kit or Nest home, sensors, a smart speaker (Echo/Echo spot), mobile phone and TV for display.
- Alexa mobile, smart things app on phone.
- family members

Configuration: The smart sensor devices are positioned in places like home doors and staircase to detect moving objects. The sensors report back to a smart things hub which conveys the information to Amazon Echo. The Eco and Echo spot are positioned to make announcements when intrusion is detected during scheduled hours. This is also displayed on the TV. Some of the motion sensors trigger lamps and they also turn on/off during scheduled times in certain areas.

-The smart hub in centrally located in the living room. Sensors are mounted/stuck in different parts of the home on walls and doors. The speakers are located in the Kitchen counter and the living room. TV sits on a table in the living room. ",,Multiple times a day,Clone,Smart home - monitor home ,
P48,"I will often use a TV has a wireless display for my laptop when sharing something with family. I'm usually at the kitchen counter, or on the couch or something. Instead of having everyone crowd around I'll cast the picture, the web page, the YouTube video, whatever wirelessly up on the big TV in the room. ",,Monthly,Clone,Streaming media,Sharing as motivation and in public space 
P65,Surface Pro 6 connected to Sony XBR via HDMI (through Onkyo home theater) for streaming when Google Smart TV app not available. ,,Weekly,Clone,Streaming media,
P31,Media consumption using an ultrabook connected to a large TV via HDMI for viewing Netflix and other streaming services. This is used by me and my wife.,,Daily,Clone,Watch TV,Multiple users
P93,"Movie/TV
-Watching movie or TV. Mostly done on my gaming PC with 32"" monitor. Sometimes I extend to 55"" or 1080P projector. ",,Weekly,Clone,Watch TV,
P29,"Emailing (personal and work)
Sending and receiving personal and work email.
Microsoft Outlook (desktop), Microsoft Outlook (Android), Gmail (Android), Windows 10 Mail App, WearOS Notification (both Outlook and Gmail), outlook.office.com (Office 365), www.outlook.com, Chrome, Edge Legacy, Edge Chromium, Opera.

I receive and send email throughout the day from a variety of devices at a number of locations.  I receive notifications on either my watch or one of my devices and read/respond to messages using the tools available at the time depending on my location.  I have both a personal and work Office 365 account.  My personal account is attached to Outlook for Android on my phone and my work one is attached to Gmail.  Depending on the machine I'm at, I will respond to messages using the Outlook Desktop app, Gmail (Android), or Outlook.Office.com (for work email).  For personal email I'll typically use Outlook.com, Outlook (android), or the Windows 10 mail app.

Placement is all over the place depending on where I am and the device I have most handy.",,Multiple times a day,Clone ,Communication - Email ,Receive notification and reply 
