,Photo ID,P3 - PHYSICAL SETUP - 1,P7 - PHYSICAL SETUP - 1,P7 - PHYSICAL SETUP - 2,P11 - PHYSICAL SETUP 1,P9-PHYSICAL SETUP 2,P14 -PHYSICAL SETUP 2,P-19 ACTIVITY 1,P-21 PHYSICAL SETUP 1,P-29 PHYSICAL SETUP 2,P-33 PHYSICAL SETUP 1,P-36 PHYSICAL SETUP 2,P-40 PHYSICAL SETUP 1,P-43 PHYSICAL SETUP 1,P-46 PHYSICAL SETUP 1,P-47 PHYSICAL SETUP 2,P-49 PHYSICAL SETUP 1,P-53 PHYSICAL SETUP 1,P-54 PHYSICAL SETUP 2,P-55 PHYSICAL SETUP 2,P-58 ACTIVITY 1,P3 - PHYSICAL SETUP - 1,P7 - PHYSICAL SETUP - 1,P7 - PHYSICAL SETUP - 2,P11 - PHYSICAL SETUP 1,P58 - PHYSICAL SETUP 1,P59 - PHYSICAL SETUP 1,P60 - PHYSICAL SETUP 3,P66 - ACTIVITY 3,P73 - PHYSICAL SETUP 1,P79 - ACTIVITY 1,P81 - ACTIVITY 1,P81 - PHYSICAL SETUP 3,P85 - PHYSICAL SETUP 1,P86 - ACTIVITY 2,P87 - PHYSICAL SETUP 2,P92 - ACTIVITY 1,P95 - ACTIVITY 2,P96 - PHYSICAL SETUP 1,P100 - PHYSICAL SETUP 1,P9 - ACTIVITY 2,P9 - PHYSICAL SETUP - 1,P10 - PHYSICAL SETUP 1,P12 - PHYSICAL SETUP 1,P14 - ACTIVITY 1,P14 - APPRECIATE,P14 - PHYSICAL SETUP 3,P17 - PHYSICAL SETUP 1,P17 - PHYSICAL SETUP 2,P19 - PHYSICAL SETUP 1,P21 - PHYSICAL SETUP 3,P23 - ACTIVITY 1,P29 - PHYSICAL SETUP 1,P29 - PHYSICAL SETUP 3,P30 - PHYSICAL SETUP 1,P32 - PHYSICAL SETUP 1,P34 - PHYSICAL SETUP 1,P35 - PHYSICAL SETUP 1,P36 - PHYSICAL SETUP 1,P37 - ACTIVITY 1,P37 - PHYSICAL SETUP 1,P41 - PHYSICAL SETUP 1,P41 - PHYSICAL SETUP 2,P44 - PHYSICAL SETUP 1,P45 - PHYSICAL SETUP 1,P46 - PHYSICAL SETUP 2,P47 - PHYSICAL SETUP 1,P48 - ACTIVITY 2,P50 - PHYSICAL SETUP 1,P51 - PHYSICAL SETUP 1,P53 - PHYSICAL SETUP 2,P54 - ACTIVITY 1,P54 - PHYSICAL SETUP 1,P55 - ACTIVITY 1,P57 - PHYSICAL SETUP 1,P58 - ACTIVITY 3,P58 - APPRECIATE,P59 - ACTIVITY 1,P59 - PHYSICAL SETUP 2,P60 - PHYSICAL SETUP 1,P61 - PHYSICAL SETUP 1,P61 - PHYSICAL SETUP 2,P62 - PHYSICAL SETUP 1,P64 - PHYSICAL SETUP 1,P66 - ACTIVITY 1,P66 - ACTIVITY 2,P66 - PHYSICAL SETUP 1,P67 - PHYSICAL SETUP 1,P68 - PHYSICAL SETUP 1,P70 - ACTIVITY 1,P71 - PHYSICAL SETUP 1,P74 - PHYSICAL SETUP 3,P75 - ACTIVITY 1,P77 - PHYSICAL SETUP 1,P79 - PHYSICAL SETUP 1,P79 - PHYSICAL SETUP 2,P81 - ACTIVITY 2,P81 - PHYSICAL SETUP 2,P83 - PHYSICAL SETUP 1,P84 - PHYSICAL SETUP 1,P85 - PHYSICAL SETUP 2,P86 - ACTIVITY 1,P87 - PHYSICAL SETUP 1,P88 - ACTIVITY 2,P88 - PHYSICAL SETUP 1,P89 - PHYSICAL SETUP 1,P91 - ACTIVITY 2,P92 - PHYSICAL SETUP 1,P94 - PHYSICAL SETUP 1,P95 - ACTIVITY 1,P98 - PHYSICAL SETUP 1,P99 - PHYSICAL SETUP 1,P99 - PHYSICAL SETUP 2
CONFIGURATION,      Arrangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONFIGURATION_Arrangement_Separate,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1
,"CONFIGURATION_Arrangement_Continuous
",0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,2,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0
,"CONFIGURATION_Arrangement_Overlapping
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CONFIGURATION_Arrangement_Layered
",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0
,      Orientation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CONFIGURATION_Orientation_Horizontal
",0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,,1,0,1,0
,"CONFIGURATION_Orientation_Vertical
",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1
,"CONFIGURATION_Orientation_Tilted
",0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
,"CONFIGURATION_Orientation_Concave
",0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0
